,Unnamed: 0,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,CountyState Name,Total Population,Total Under 18,Total 18 to 64,Total 65 and over,Total Male,Total Female,Total 16 and Over,Total 16 and Over Employed,InPoverty Population,InPoverty Under 18,InPoverty 18 to 64,InPoverty 65 and Over,InPoverty Male,InPoverty Female,InPoverty 16 and Over,InPoverty 16 and Over Employed,PctBelowPoverty Population,PctBelowPoverty Under 18,PctBelowPoverty 18 to 64,PctBelowPoverty 65 and over,PctBelowPoverty Male,PctBelowPoverty Female,PctBelowPoverty 16 and Over,PctBelowPoverty 16 and Over Employed,State Code,County Code
0,0,Alabama,Baldwin,2012,284,226,56,2,0,0,0,112,61,38,0,0,210,0,74,0,"Baldwin, Alabama",188165,42428,91799,15736.0,,,8041,3467,26448,8574,13055,4806.0,,,1619,791,14.1,20.2,14.2,30.5,,,20.1,22.8,1,3
1,3,Alabama,DeKalb,2012,361,282,74,5,0,0,0,115,64,40,0,0,320,0,41,0,"DeKalb, Alabama",70395,18007,34660,,,,2398,1667,9334,3667,4472,,,,878,528,13.3,20.4,12.9,,,,36.6,31.7,1,49
2,4,Alabama,Elmore,2012,245,212,33,0,0,0,0,100,54,40,0,0,245,0,0,0,"Elmore, Alabama",76361,18575,35665,14273.0,,,2476,958,9922,3689,3595,2716.0,,,359,113,13.0,19.9,10.1,19.0,,,14.5,11.8,1,51
3,5,Alabama,Etowah,2012,277,229,48,0,0,0,0,87,55,40,0,0,191,0,86,0,"Etowah, Alabama",102682,23025,48900,15157.0,,,5169,3096,21819,7471,9670,4220.0,,,2091,1268,21.2,32.4,19.8,27.8,,,40.5,41.0,1,55
4,6,Alabama,Houston,2012,284,238,46,0,0,0,0,97,58,38,0,0,211,0,73,0,"Houston, Alabama",102266,24773,48599,26930.0,,,3612,1994,19607,7138,8322,10447.0,,,1388,637,19.2,28.8,17.1,38.8,,,38.4,31.9,1,69
5,7,Alabama,Jefferson,2012,366,148,198,16,4,0,0,172,87,53,0,0,140,7,216,3,"Jefferson, Alabama",646961,153718,304760,275455.0,,9898.0,28941,14828,120297,43106,51848,78364.0,,1242.0,12227,6160,18.6,28.0,17.0,28.4,,12.5,42.2,41.5,1,73
6,9,Alabama,Madison,2012,338,242,82,14,0,0,0,147,74,43,0,0,218,0,66,54,"Madison, Alabama",335383,78320,164207,80203.0,,,15010,7187,41369,12427,19749,18393.0,,,4783,1932,12.3,15.9,12.0,22.9,,,31.9,26.9,1,89
7,10,Alabama,Mobile,2012,284,229,52,3,0,0,0,126,61,38,0,0,219,0,62,3,"Mobile, Alabama",403118,100452,190908,138995.0,,8190.0,21764,10434,84891,30686,33150,47468.0,,1130.0,8573,2848,21.1,30.5,17.4,34.2,,13.8,39.4,27.3,1,97
8,11,Alabama,Montgomery,2012,280,211,68,1,0,0,0,102,62,43,0,0,195,0,85,0,"Montgomery, Alabama",222819,55560,104478,123171.0,,,10025,5280,47624,16926,20531,34757.0,,,4020,1676,21.4,30.5,19.7,28.2,,,40.1,31.7,1,101
9,12,Alabama,Morgan,2012,283,218,59,6,0,0,0,129,71,42,0,0,209,0,74,0,"Morgan, Alabama",118780,28297,57916,13699.0,,,8003,4540,19358,6201,7805,4636.0,,,2671,1354,16.3,21.9,13.5,33.8,,,33.4,29.8,1,103
10,14,Alabama,Shelby,2012,283,213,64,6,0,0,0,150,71,43,0,0,217,0,66,0,"Shelby, Alabama",197999,49661,96957,21659.0,,,5839,2609,16943,6512,7471,3698.0,,,1551,532,8.6,13.1,7.7,17.1,,,26.6,20.4,1,117
11,15,Alabama,Talladega,2012,116,82,34,0,0,0,0,77,59,42,0,0,0,0,116,0,"Talladega, Alabama",77873,17531,37107,26502.0,,,4931,2348,19123,7383,7912,11257.0,,,3109,1569,24.6,42.1,21.3,42.5,,,63.1,66.8,1,121
12,16,Alabama,Tuscaloosa,2012,283,255,28,0,0,0,0,93,50,36,0,0,191,0,92,0,"Tuscaloosa, Alabama",187921,41997,90510,58285.0,,2897.0,6596,3200,36962,11002,16000,16959.0,,557.0,2007,966,19.7,26.2,17.7,29.1,,19.2,30.4,30.2,1,125
13,25,Arizona,Apache,2012,354,351,3,0,0,0,0,56,27,17,0,0,0,0,47,307,"Apache, Arizona",71828,22189,35191,,53068.0,,4074,2230,23811,9066,12288,,21717.0,,2236,1214,33.2,40.9,34.9,,40.9,,54.9,54.4,4,1
14,26,Arizona,Cochise,2012,360,208,143,9,0,0,0,120,84,48,0,0,320,0,25,15,"Cochise, Arizona",120359,29196,57423,,,,5161,2557,22503,7718,9795,,,,1751,805,18.7,26.4,17.1,,,,33.9,31.5,4,3
15,27,Arizona,Coconino,2012,366,238,113,15,0,0,0,133,80,46,0,0,354,0,12,0,"Coconino, Arizona",127795,30229,63890,,36217.0,,5408,3937,33191,10438,15900,,14329.0,,2064,1273,26.0,34.5,24.9,,39.6,,38.2,32.3,4,5
16,30,Arizona,Maricopa,2012,366,46,252,61,6,1,0,268,115,70,0,25,205,0,59,77,"Maricopa, Arizona",3889500,995355,1919812,205048.0,72149.0,143321.0,165936,91065,678741,253981,315590,58527.0,21025.0,19871.0,60554,31648,17.5,25.5,16.4,28.5,29.1,13.9,36.5,34.8,4,13
17,31,Arizona,Mohave,2012,240,235,4,1,0,0,0,116,35,19,0,0,0,0,48,192,"Mohave, Arizona",188318,38231,88097,,,,11475,6759,40839,12899,18047,,,,5781,3420,21.7,33.7,20.5,,,,50.4,50.6,4,15
18,32,Arizona,Navajo,2012,366,245,114,7,0,0,0,126,80,45,0,0,351,0,0,15,"Navajo, Arizona",104486,30133,51804,,46498.0,,8720,4338,32067,11573,14963,,21411.0,,3986,1872,30.7,38.4,28.9,,46.0,,45.7,43.2,4,17
19,33,Arizona,Pima,2012,366,183,174,9,0,0,0,143,84,51,0,14,241,0,14,97,"Pima, Arizona",968447,219040,473604,36332.0,29161.0,25920.0,48054,26014,193466,64005,88971,7206.0,11182.0,4652.0,21534,10630,20.0,29.2,18.8,19.8,38.3,17.9,44.8,40.9,4,19
20,34,Arizona,Pinal,2012,366,49,234,69,7,3,2,594,124,75,0,0,111,0,8,247,"Pinal, Arizona",367478,95767,185749,16419.0,22675.0,,19654,10155,62581,22750,29330,1711.0,9631.0,,6226,3876,17.0,23.8,15.8,10.4,42.5,,31.7,38.2,4,21
21,36,Arizona,Yavapai,2012,283,206,68,9,0,0,0,112,74,45,0,0,239,0,43,1,"Yavapai, Arizona",210176,37963,102859,,4143.0,,9794,5405,30085,7811,15169,,1525.0,,2682,1616,14.3,20.6,14.7,,36.8,,27.4,29.9,4,25
