State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Common Pollutant,Pct Good Days,Pct Moderate Days,Pct Unhealthy for Sensitive Groups Days,Pct Unhealthy Days,Pct Very Unhealthy Days,Pct Hazardous Days
Alabama,Baldwin,2012,284,226,56,2,0,0,0,112,61,38,0,0,210,0,74,0,Ozone,0.795774647887324,0.19718309859154928,0.007042253521126761,0.0,0.0,0.0
Alabama,Clay,2012,121,99,22,0,0,0,0,72,56,35,0,0,0,0,121,0,PM2.5,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0
Alabama,Colbert,2012,283,222,55,6,0,0,0,136,62,40,0,0,209,0,74,0,Ozone,0.784452296819788,0.19434628975265017,0.02120141342756184,0.0,0.0,0.0
Alabama,DeKalb,2012,361,282,74,5,0,0,0,115,64,40,0,0,320,0,41,0,Ozone,0.7811634349030471,0.20498614958448755,0.013850415512465374,0.0,0.0,0.0
Alabama,Elmore,2012,245,212,33,0,0,0,0,100,54,40,0,0,245,0,0,0,Ozone,0.8653061224489796,0.1346938775510204,0.0,0.0,0.0,0.0
Alabama,Etowah,2012,277,229,48,0,0,0,0,87,55,40,0,0,191,0,86,0,Ozone,0.8267148014440433,0.17328519855595667,0.0,0.0,0.0,0.0
Alabama,Houston,2012,284,238,46,0,0,0,0,97,58,38,0,0,211,0,73,0,Ozone,0.8380281690140845,0.1619718309859155,0.0,0.0,0.0,0.0
Alabama,Jefferson,2012,366,148,198,16,4,0,0,172,87,53,0,0,140,7,216,3,PM2.5,0.40437158469945356,0.5409836065573771,0.04371584699453552,0.01092896174863388,0.0,0.0
Alabama,Lawrence,2012,109,104,5,0,0,0,0,58,48,28,0,0,0,0,109,0,PM2.5,0.9541284403669725,0.045871559633027525,0.0,0.0,0.0,0.0
Alabama,Madison,2012,338,242,82,14,0,0,0,147,74,43,0,0,218,0,66,54,Ozone,0.7159763313609467,0.24260355029585798,0.04142011834319527,0.0,0.0,0.0
